trial,model,workload,concurrencyLevel,ioBytesPerTask,numTasks,seconds,throughputTasksPerSec,avgLatencyMicros
1,virtual-threads,io-file-rw-1048576B-chunk131072,8,1048576,64,0.015007209,4264.617091692399,3292.806625
2,virtual-threads,io-file-rw-1048576B-chunk131072,8,1048576,64,0.018245666,3507.6823175432455,3792.19146875
3,virtual-threads,io-file-rw-1048576B-chunk131072,8,1048576,64,0.016453791,3889.6811075332125,3125.479875
1,fixed-pool-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.0378685,1690.0590200298402,4411.264328125
2,fixed-pool-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.038254292,1673.014886800153,4468.705125
3,fixed-pool-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.038244875,1673.4268316996722,4500.986265625
1,work-stealing-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.040319458,1587.3229248270152,4731.934234375
2,work-stealing-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.038322875,1670.0208426429385,4499.15103125
3,work-stealing-8,io-file-rw-4194304B-chunk131072,8,4194304,64,0.064909084,985.9945027108994,7838.395875
1,virtual-threads,io-file-rw-4194304B-chunk131072,8,4194304,64,0.044043125,1453.1212306120422,13722.455671875
2,virtual-threads,io-file-rw-4194304B-chunk131072,8,4194304,64,0.094229792,679.190717092955,18400.09703125
3,virtual-threads,io-file-rw-4194304B-chunk131072,8,4194304,64,0.056295958,1136.848936827756,10007.985625
